Source,job #,G,C_rounded,C,R,Vab,Prior,Truth,Explanation,Notes,log10(G),Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev,H,cluster_color,C_formated,Time
Grid,0,3906939.94,0.1549,0.154897959,0.276,0.439215308,0,1,Planar,,6.591836735,-0.405465108,,0.657077087,0.653542207,0.927588306,"(0.5529411764705883, 0.8274509803921568, 0.7803921568627451, 1.0)",15.49,1.855E-04
Grid,1,145634.85,0.17286,0.172857143,0.336,0.545415943,0,0.5,Transient,,5.163265306,-0.405465108,,0.502368797,0.726298586,0.999983809,"(1.0, 1.0, 0.7019607843137254, 1.0)",17.286,4.087E-03
Grid,2,175751.06,0.15571,0.155714286,0.3,0.439215308,0,0.5,Transient,,5.244897959,-0.405465108,,0.44539913,0.67412523,0.991380738,"(0.7450980392156863, 0.7294117647058823, 0.8549019607843137, 1.0)",15.571,3.793E-03
Grid,3,232995.18,0.1851,0.185102041,0.348,0.60052071,0,0.5,Transient,,5.367346939,-0.405465108,,0.616745903,0.771304442,0.960307904,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)",18.51,2.467E-03
Grid,4,3906939.94,0.18347,0.183469388,0.3,0.60052071,0,0,Cellular,Early transient banding,6.591836735,-0.405465108,,0.513294574,0.559840919,0.99948996,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",18.347,1.706E-04
Grid,5,954095.48,0.18347,0.183469388,0.336,0.60052071,0,0.5,Transient,,5.979591837,-0.405465108,,0.65989626,0.710677721,0.924917942,"(0.9921568627450981, 0.7058823529411765, 0.3843137254901961, 1.0)",18.347,6.239E-04
Grid,6,1842069.97,0.17041,0.170408163,0.312,0.519789795,0,0,Cellular,,6.265306122,-0.405465108,,0.583786109,0.568623709,0.979648359,"(0.7019607843137254, 0.8705882352941177, 0.4117647058823529, 1.0)",17.041,3.480E-04
Grid,7,790604.32,0.15653,0.156530612,0.288,0.439215308,0,1,Planar,Sort of oscillatory interface,5.897959184,-0.405465108,,0.652680408,0.578814172,0.931651417,"(0.9882352941176471, 0.803921568627451, 0.8980392156862745, 1.0)",15.653,8.784E-04
Grid,8,409491.51,0.16959,0.169591837,0.324,0.519789795,0,0.5,Transient,,5.612244898,-0.405465108,,0.583876326,0.637987893,0.979604298,"(0.8509803921568627, 0.8509803921568627, 0.8509803921568627, 1.0)",16.959,1.507E-03
Grid,9,5689866.03,0.16633,0.166326531,0.276,0.507431833,0,1,Planar,,6.755102041,-0.405465108,,0.361359905,0.604437148,0.943806226,"(0.7372549019607844, 0.5019607843137255, 0.7411764705882353, 1.0)",16.633,1.274E-04
