Source,G,C,R,Vab,Prior,Truth,Explanation
Grid,100000.0,0.15,0.012,0.4086272711092749,0,,
Grid,302040.81632653065,0.15,0.012,0.4086272711092749,0,,
Grid,504081.63265306124,0.15,0.012,0.4086272711092749,0,,
Grid,706122.4489795918,0.15,0.012,0.4086272711092749,0,,
Grid,908163.2653061225,0.15,0.012,0.4086272711092749,0,,
Grid,1110204.0816326533,0.15,0.012,0.4086272711092749,0,,
Grid,1312244.8979591837,0.15,0.012,0.4086272711092749,0,,
Grid,1514285.7142857143,0.15,0.012,0.4086272711092749,0,,
Grid,1716326.530612245,0.15,0.012,0.4086272711092749,0,,
Grid,1918367.3469387756,0.15,0.012,0.4086272711092749,0,,
Grid,2120408.1632653065,0.15,0.012,0.4086272711092749,0,,
Grid,2322448.9795918367,0.15,0.012,0.4086272711092749,0,,
Grid,2524489.7959183673,0.15,0.012,0.4086272711092749,0,,
Grid,2726530.612244898,0.15,0.012,0.4086272711092749,0,,
Grid,2928571.4285714286,0.15,0.012,0.4086272711092749,0,,
Grid,3130612.2448979593,0.15,0.012,0.4086272711092749,0,,
Grid,3332653.06122449,0.15,0.012,0.4086272711092749,0,,
Grid,3534693.8775510206,0.15,0.012,0.4086272711092749,0,,
Grid,3736734.6938775512,0.15,0.012,0.4086272711092749,0,,
Grid,3938775.510204082,0.15,0.012,0.4086272711092749,0,,
Grid,4140816.3265306125,0.15,0.012,0.4086272711092749,0,,
Grid,4342857.142857143,0.15,0.012,0.4086272711092749,0,,
Grid,4544897.959183673,0.15,0.012,0.4086272711092749,0,,
Grid,4746938.775510204,0.15,0.012,0.4086272711092749,0,,
Grid,4948979.591836735,0.15,0.012,0.4086272711092749,0,,
Grid,5151020.408163265,0.15,0.012,0.4086272711092749,0,,
Grid,5353061.224489796,0.15,0.012,0.4086272711092749,0,,
Grid,5555102.040816327,0.15,0.012,0.4086272711092749,0,,
Grid,5757142.857142857,0.15,0.012,0.4086272711092749,0,,
Grid,5959183.673469388,0.15,0.012,0.4086272711092749,0,,
Grid,6161224.489795919,0.15,0.012,0.4086272711092749,0,,
Grid,6363265.306122449,0.15,0.012,0.4086272711092749,0,,
Grid,6565306.12244898,0.15,0.012,0.4086272711092749,0,,
Grid,6767346.9387755105,0.15,0.012,0.4086272711092749,0,,
Grid,6969387.755102041,0.15,0.012,0.4086272711092749,0,,
Grid,7171428.571428572,0.15,0.012,0.4086272711092749,0,,
Grid,7373469.3877551025,0.15,0.012,0.4086272711092749,0,,
Grid,7575510.204081633,0.15,0.012,0.4086272711092749,0,,
Grid,7777551.020408164,0.15,0.012,0.4086272711092749,0,,
Grid,7979591.836734694,0.15,0.012,0.4086272711092749,0,,
Grid,8181632.653061225,0.15,0.012,0.4086272711092749,0,,
Grid,8383673.469387756,0.15,0.012,0.4086272711092749,0,,
Grid,8585714.285714285,0.15,0.012,0.4086272711092749,0,,
Grid,8787755.102040816,0.15,0.012,0.4086272711092749,0,,
Grid,8989795.918367347,0.15,0.012,0.4086272711092749,0,,
Grid,9191836.734693877,0.15,0.012,0.4086272711092749,0,,
Grid,9393877.551020408,0.15,0.012,0.4086272711092749,0,,
Grid,9595918.367346939,0.15,0.012,0.4086272711092749,0,,
Grid,9797959.18367347,0.15,0.012,0.4086272711092749,0,,
Grid,10000000.0,0.15,0.012,0.4086272711092749,0,,
Grid,100000.0,0.15,0.024,0.4086272711092749,0,,
Grid,302040.81632653065,0.15,0.024,0.4086272711092749,0,,
Grid,504081.63265306124,0.15,0.024,0.4086272711092749,0,,
Grid,706122.4489795918,0.15,0.024,0.4086272711092749,0,,
Grid,908163.2653061225,0.15,0.024,0.4086272711092749,0,,
Grid,1110204.0816326533,0.15,0.024,0.4086272711092749,0,,
Grid,1312244.8979591837,0.15,0.024,0.4086272711092749,0,,
Grid,1514285.7142857143,0.15,0.024,0.4086272711092749,0,,
Grid,1716326.530612245,0.15,0.024,0.4086272711092749,0,,
Grid,1918367.3469387756,0.15,0.024,0.4086272711092749,0,,
Grid,2120408.1632653065,0.15,0.024,0.4086272711092749,0,,
Grid,2322448.9795918367,0.15,0.024,0.4086272711092749,0,,
Grid,2524489.7959183673,0.15,0.024,0.4086272711092749,0,,
Grid,2726530.612244898,0.15,0.024,0.4086272711092749,0,,
Grid,2928571.4285714286,0.15,0.024,0.4086272711092749,0,,
Grid,3130612.2448979593,0.15,0.024,0.4086272711092749,0,,
Grid,3332653.06122449,0.15,0.024,0.4086272711092749,0,,
Grid,3534693.8775510206,0.15,0.024,0.4086272711092749,0,,
Grid,3736734.6938775512,0.15,0.024,0.4086272711092749,0,,
Grid,3938775.510204082,0.15,0.024,0.4086272711092749,0,,
Grid,4140816.3265306125,0.15,0.024,0.4086272711092749,0,,
Grid,4342857.142857143,0.15,0.024,0.4086272711092749,0,,
Grid,4544897.959183673,0.15,0.024,0.4086272711092749,0,,
Grid,4746938.775510204,0.15,0.024,0.4086272711092749,0,,
Grid,4948979.591836735,0.15,0.024,0.4086272711092749,0,,
Grid,5151020.408163265,0.15,0.024,0.4086272711092749,0,,
Grid,5353061.224489796,0.15,0.024,0.4086272711092749,0,,
Grid,5555102.040816327,0.15,0.024,0.4086272711092749,0,,
Grid,5757142.857142857,0.15,0.024,0.4086272711092749,0,,
Grid,5959183.673469388,0.15,0.024,0.4086272711092749,0,,
Grid,6161224.489795919,0.15,0.024,0.4086272711092749,0,,
Grid,6363265.306122449,0.15,0.024,0.4086272711092749,0,,
Grid,6565306.12244898,0.15,0.024,0.4086272711092749,0,,
Grid,6767346.9387755105,0.15,0.024,0.4086272711092749,0,,
Grid,6969387.755102041,0.15,0.024,0.4086272711092749,0,,
Grid,7171428.571428572,0.15,0.024,0.4086272711092749,0,,
Grid,7373469.3877551025,0.15,0.024,0.4086272711092749,0,,
Grid,7575510.204081633,0.15,0.024,0.4086272711092749,0,,
Grid,7777551.020408164,0.15,0.024,0.4086272711092749,0,,
Grid,7979591.836734694,0.15,0.024,0.4086272711092749,0,,
Grid,8181632.653061225,0.15,0.024,0.4086272711092749,0,,
