Source,job #,G,C_rounded,C,R,Vab,Prior,Truth,Explanation,Notes,log10(G),Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev,H,cluster_color,,C_formated,Time
Grid,0,3556000.00,0.16959,0.169591837,0.252,0.519789795,0,0,Cellular,,6.551020408,-0.405465108,,0.528374789,0.721084895,0.997675641,"(0.5529411764705883, 0.8274509803921568, 0.7803921568627451, 1.0)",,16.959,1.00E-04
Grid,1,409500.00,0.17122,0.17122449,0.408,0.532448722,0,1,Planar,,5.612244898,-0.405465108,,0.527261944,0.879600598,0.997854475,"(1.0, 1.0, 0.7019607843137254, 1.0)",,17.122,5.39E-04
Grid,2,790600.00,0.15980,0.159795918,0.312,0.460869055,0,1,Planar,,5.897959184,-0.405465108,,0.480065124,0.548411263,0.998853044,"(0.7450980392156863, 0.7294117647058823, 0.8549019607843137, 1.0)",,15.98,3.65E-04
Grid,3,868500.00,0.18510,0.185102041,0.396,0.60052071,0,inconclusive,inconclusive,"Tip Temp Oscillation, odd blobs forming",5.93877551,-0.405465108,,0.440953014,0.863242674,0.989916438,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)",,18.51,2.62E-04
Grid,4,1265000.00,0.17449,0.174489796,0.372,0.545415943,0,1,Planar,,6.102040816,-0.405465108,,0.48387776,0.805421728,0.99924988,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",,17.449,1.91E-04
Grid,5,212100.00,0.15408,0.154081633,0.372,0.428772998,0,1,Planar,,5.326530612,-0.405465108,,0.469047061,0.843683761,0.997233784,"(0.9921568627450981, 0.7058823529411765, 0.3843137254901961, 1.0)",,15.408,1.14E-03
Grid,6,3556000.00,0.18347,0.183469388,0.276,0.60052071,0,0,Cellular,Early transient banding,6.551020408,-0.405465108,,0.513603048,0.657924682,0.999466013,"(0.7019607843137254, 0.8705882352941177, 0.4117647058823529, 1.0)",,18.347,9.17E-05
Grid,7,175800.00,0.16469,0.164693878,0.408,0.495367681,0,1,Planar,,5.244897959,-0.405465108,,0.474092506,0.887592178,0.998062464,"(0.9882352941176471, 0.803921568627451, 0.8980392156862745, 1.0)",,16.469,1.25E-03
Grid,8,193100.00,0.18265,0.182653061,0.432,0.60052071,0,1,Planar,Tip Temp Oscillation,5.285714286,-0.405465108,,0.530729652,0.904528061,0.997273575,"(0.8509803921568627, 0.8509803921568627, 0.8509803921568627, 1.0)",,18.265,1.08E-03
Grid,9,4292000.00,0.15653,0.156530612,0.228,0.439215308,0,0,Cellular,,6.632653061,-0.405465108,,0.554730054,0.769964375,0.991339821,"(0.7372549019607844, 0.5019607843137255, 0.7411764705882353, 1.0)",,15.653,9.20E-05
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
