Source,G,C,R,Vab,Prior,Truth,Explanation,Prior_Scaled,Truth_Scaled
Karma,1.0,0.0,0.0,0.4086272711092749,0,0.0,Cellular,-0.4054651081081643,-5.0
Karma,1.0,0.0,0.030612244897959183,0.4086272711092749,0,0.0,Cellular,-0.4054651081081643,-5.0
Karma,1.0,0.0,0.0816326530612245,0.4086272711092749,0,0.0,Cellular,-0.4054651081081643,-5.0
Karma,1.0,0.0,0.1836734693877551,0.4086272711092749,0,0.0,Cellular,-0.4054651081081643,-5.0
Karma,1.0,0.0,0.4897959183673469,0.4086272711092749,0,1.0,Planar,-0.4054651081081643,5.0
Karma,1.0,0.0,1.0,0.4086272711092749,1,1.0,Planar,0.4054651081081643,5.0
Karma,0.09090909090909091,0.0,0.0,0.4086272711092749,0,0.0,Cellular (not run),-0.4054651081081643,-5.0
Karma,0.09090909090909091,0.0,0.030612244897959183,0.4086272711092749,0,0.0,Cellular (not run),-0.4054651081081643,-5.0
Karma,0.09090909090909091,0.0,0.0816326530612245,0.4086272711092749,0,0.0,Cellular,-0.4054651081081643,-5.0
Karma,0.09090909090909091,0.0,0.1836734693877551,0.4086272711092749,0,0.0,Cellular,-0.4054651081081643,-5.0
Karma,0.09090909090909091,0.0,0.4897959183673469,0.4086272711092749,0,1.0,Planar,-0.4054651081081643,5.0
Karma,0.09090909090909091,0.0,1.0,0.4086272711092749,1,1.0,Planar,0.4054651081081643,5.0
Karma,0.0,0.0,0.0,0.4086272711092749,0,0.0,Cellular (not run),-0.4054651081081643,-5.0
Karma,0.0,0.0,0.030612244897959183,0.4086272711092749,0,0.0,Cellular (not run),-0.4054651081081643,-5.0
Karma,0.0,0.0,0.0816326530612245,0.4086272711092749,0,0.0,Cellular (not run),-0.4054651081081643,-5.0
Karma,0.0,0.0,0.1836734693877551,0.4086272711092749,0,0.0,Cellular,-0.4054651081081643,-5.0
Karma,0.0,0.0,1.0,0.4086272711092749,1,1.0,Planar,0.4054651081081643,5.0
Karma,1.0,0.5000000000000009,0.0,0.5197897948152,0,0.0,Cellular,-0.4054651081081643,-5.0
Karma,1.0,0.5000000000000009,0.030612244897959183,0.5197897948152,0,0.0,Cellular,-0.4054651081081643,-5.0
Karma,1.0,0.5000000000000009,0.0816326530612245,0.5197897948152,0,0.0,Cellular,-0.4054651081081643,-5.0
Karma,1.0,0.5000000000000009,0.1836734693877551,0.5197897948152,0,0.0,Cellular,-0.4054651081081643,-5.0
Karma,1.0,0.5000000000000009,0.4897959183673469,0.5197897948152,0,1.0,Planar,-0.4054651081081643,5.0
Karma,1.0,0.5000000000000009,1.0,0.5197897948152,1,1.0,Planar,0.4054651081081643,5.0
