Source,G,C,R,Vab,Prior,Truth,Explanation,log10(G),Prior_Scaled,Truth_Scaled
Karma,10000000.0,0.15,0.012,0.4086272711092749,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.15,0.03,0.4086272711092749,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.15,0.06,0.4086272711092749,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.15,0.12,0.4086272711092749,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.15,0.3,0.4086272711092749,0,1.0,Planar,7.0,-0.4054651081081643,5.0
Karma,10000000.0,0.15,0.6,0.4086272711092749,1,1.0,Planar,7.0,0.4054651081081643,5.0
Karma,1000000.0,0.15,0.012,0.4086272711092749,0,0.0,Cellular (not run),6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.15,0.03,0.4086272711092749,0,0.0,Cellular (not run),6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.15,0.06,0.4086272711092749,0,0.0,Cellular,6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.15,0.12,0.4086272711092749,0,0.0,Cellular,6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.15,0.3,0.4086272711092749,0,1.0,Planar,6.0,-0.4054651081081643,5.0
Karma,1000000.0,0.15,0.6,0.4086272711092749,1,1.0,Planar,6.0,0.4054651081081643,5.0
Karma,100000.0,0.15,0.012,0.4086272711092749,0,0.0,Cellular (not run),5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.15,0.03,0.4086272711092749,0,0.0,Cellular (not run),5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.15,0.06,0.4086272711092749,0,0.0,Cellular (not run),5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.15,0.12,0.4086272711092749,0,0.0,Cellular,5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.15,0.6,0.4086272711092749,1,1.0,Planar,5.0,0.4054651081081643,5.0
Karma,10000000.0,0.17,0.012,0.5197897948152,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.17,0.03,0.5197897948152,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.17,0.06,0.5197897948152,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.17,0.12,0.5197897948152,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.17,0.3,0.5197897948152,0,1.0,Planar,7.0,-0.4054651081081643,5.0
Karma,10000000.0,0.17,0.6,0.5197897948152,1,1.0,Planar,7.0,0.4054651081081643,5.0
Karma,1000000.0,0.17,0.012,0.5197897948152,0,0.0,Cellular,6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.17,0.03,0.5197897948152,0,0.0,Cellular,6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.17,0.06,0.5197897948152,0,0.0,Cellular,6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.17,0.12,0.5197897948152,0,0.0,Cellular,6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.17,0.3,0.5197897948152,0,0.0,Cellular (ish),6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.17,0.6,0.5197897948152,1,1.0,Planar,6.0,0.4054651081081643,5.0
Karma,100000.0,0.17,0.012,0.5197897948152,0,0.0,Cellular (not run),5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.17,0.03,0.5197897948152,0,0.0,Cellular (not run),5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.17,0.06,0.5197897948152,0,0.0,Cellular (not run),5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.17,0.12,0.5197897948152,0,0.0,Cellular,5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.17,0.3,0.5197897948152,0,0.0,Cellular (ish),5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.17,0.6,0.5197897948152,1,1.0,Planar,5.0,0.4054651081081643,5.0
Karma,10000000.0,0.19,0.012,0.6301269720577213,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.19,0.03,0.6301269720577213,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.19,0.06,0.6301269720577213,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.19,0.12,0.6301269720577213,0,0.0,Cellular,7.0,-0.4054651081081643,-5.0
Karma,10000000.0,0.19,0.3,0.6301269720577213,0,1.0,Planar,7.0,-0.4054651081081643,5.0
Karma,10000000.0,0.19,0.6,0.6301269720577213,0,1.0,Planar,7.0,-0.4054651081081643,5.0
Karma,1000000.0,0.19,0.012,0.6301269720577213,0,0.0,Cellular (not run),6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.19,0.03,0.6301269720577213,0,0.0,Cellular (not run),6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.19,0.06,0.6301269720577213,0,0.0,Cellular,6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.19,0.12,0.6301269720577213,0,0.0,Cellular,6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.19,0.3,0.6301269720577213,0,0.0,Cellular (ish),6.0,-0.4054651081081643,-5.0
Karma,1000000.0,0.19,0.6,0.6301269720577213,0,1.0,Planar,6.0,-0.4054651081081643,5.0
Karma,100000.0,0.19,0.012,0.6301269720577213,0,0.0,Cellular (not run),5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.19,0.03,0.6301269720577213,0,0.0,Cellular (not run),5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.19,0.06,0.6301269720577213,0,0.0,Cellular (not run),5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.19,0.12,0.6301269720577213,0,0.0,Cellular,5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.19,0.3,0.6301269720577213,0,0.0,Cellular (ish),5.0,-0.4054651081081643,-5.0
Karma,100000.0,0.19,0.6,0.6301269720577213,0,1.0,Planar,5.0,-0.4054651081081643,5.0
