d,Method,random_seed,epsilonX,epsilonEI,i,EI,y,y*,R,t (s),m (MB)
2,gradBO,0,1e-05,nan,1,0.21595179092181577,-1.4774496630775338,-1.9101873427908376,0.0,0.35324399897945113,nan
2,gradBO,0,1e-05,nan,2,0.08971989438298002,1.9999411898211628,-1.9101873427908376,3.4773908528986963,0.11058885999955237,nan
2,gradBO,0,1e-05,nan,3,0.009176346981120286,2.1922706059506134,-1.9101873427908376,7.147111121926843,0.2304702669789549,nan
2,gradBO,0,1e-05,nan,4,0.15831936687082587,-1.4143311832709977,-1.9101873427908376,7.210229601733378,0.13526725699193776,nan
2,gradBO,0,1e-05,nan,5,0.05509216268628601,-1.116465490333268,-1.9101873427908376,7.571213774477643,0.11258137799450196,nan
2,gradBO,0,1e-05,nan,6,0.06781724746550342,1.2368703557825271,-1.9101873427908376,10.285533793337704,0.15268037898931652,nan
2,gradBO,0,1e-05,nan,7,0.3985449655036682,-1.8519358581598215,-1.9101873427908376,12.532450963831431,0.1318318999838084,nan
2,gradBO,0,1e-05,nan,8,0.1068857969450542,0.9963613255773642,-1.9101873427908376,15.380748147568617,0.16371767199598253,nan
2,gradBO,0,1e-05,nan,9,0.01761583632718342,1.4549905246689856,-1.9101873427908376,18.687674530397427,0.1281732130155433,nan
2,gradBO,0,1e-05,nan,10,0.008660810993659604,-1.3731779104450168,-1.9101873427908376,19.166432478112227,0.2319083629990928,nan
2,gradBO,1,1e-05,nan,1,0.07865026684888804,1.5318371074631916,-1.9101873427908376,0.0,1.2634072859946173,nan
2,gradBO,1,1e-05,nan,2,0.05528519835510427,0.6293013003410164,-1.9101873427908376,0.9025358071221756,0.20600499797728844,nan
2,gradBO,1,1e-05,nan,3,0.03099138633506687,0.9774052235542814,-1.9101873427908376,1.2506397303354397,0.07573343001422472,nan
2,gradBO,1,1e-05,nan,4,0.025903896216311503,2.1087721015674665,-1.9101873427908376,2.7301105315618894,0.10692135800491087,nan
2,gradBO,1,1e-05,nan,5,0.029157043414555214,1.5890807145011165,-1.9101873427908376,3.6898899457219905,0.144951360009145,nan
2,gradBO,1,1e-05,nan,6,0.04871553050699455,1.365668970438546,-1.9101873427908376,4.4262576158195195,0.12664311699336395,nan
2,gradBO,1,1e-05,nan,7,0.04542775531786574,0.9409362366461516,-1.9101873427908376,4.737892552124656,0.21632235602010041,nan
2,gradBO,1,1e-05,nan,8,0.17952681306191595,0.22639565629890002,-1.9101873427908376,7.558232060419471,0.18316059798235074,nan
2,gradBO,1,1e-05,nan,9,0.32731915754818247,-0.5078899639210452,-1.9101873427908376,13.432517022179034,0.2051422549993731,nan
2,gradBO,1,1e-05,nan,10,0.6561712543187053,-1.5677640122452159,-1.9101873427908376,22.97138345709657,0.18132900400087237,nan
2,gradBO,2,1e-05,nan,1,0.010338497336602512,1.3210539618155148,-1.9101873427908376,0.0,0.9904029089957476,nan
2,gradBO,2,1e-05,nan,2,0.02630499595470412,0.8761353412536734,-1.9101873427908376,0.4449186205618414,0.10507536798832007,nan
2,gradBO,2,1e-05,nan,3,0.08434648468345705,0.695223605014718,-1.9101873427908376,0.8067420930397518,0.1583863889973145,nan
2,gradBO,2,1e-05,nan,4,0.08834649100723815,0.7205193638396212,-1.9101873427908376,0.832037851864655,0.07342222100123763,nan
2,gradBO,2,1e-05,nan,5,0.2559355917384606,0.2744474766543994,-1.9101873427908376,2.5151423653059304,0.11179075899417512,nan
2,gradBO,2,1e-05,nan,6,0.1501904419195961,0.07727502579244683,-1.9101873427908376,3.501004619615692,0.201669600995956,nan
2,gradBO,2,1e-05,nan,7,0.2292165467328023,-1.2833827338621977,-1.9101873427908376,11.66495117754356,0.1184877299820073,nan
2,gradBO,2,1e-05,nan,8,0.2752623852390366,-0.7510063520326495,-1.9101873427908376,12.197327559373107,0.09342483099317178,nan
2,gradBO,2,1e-05,nan,9,0.04224443096343945,-0.26339749006107693,-1.9101873427908376,13.217312803174227,0.06666257799952291,nan
2,gradBO,2,1e-05,nan,10,0.7384370098524674,-1.8630300684413323,-1.9101873427908376,18.43413881438644,0.0488001850026194,nan
2,gradBO,3,1e-05,nan,1,0.09952385554381284,1.2145790185703365,-1.9101873427908376,0.0,0.297276833007345,nan
2,gradBO,3,1e-05,nan,2,0.0698713194528518,0.5610174044051852,-1.9101873427908376,0.6535616141651515,0.031001622002804652,nan
2,gradBO,3,1e-05,nan,3,0.050676614740692225,1.999958482506373,-1.9101873427908376,2.09250269226634,0.07033621199661866,nan
2,gradBO,3,1e-05,nan,4,0.03366085638305483,0.2984638278025993,-1.9101873427908376,2.880163422074098,0.0871835230209399,nan
2,gradBO,3,1e-05,nan,5,0.142265809783438,-0.06862285989018169,-1.9101873427908376,4.348510172845222,0.8679593419947196,nan
2,gradBO,3,1e-05,nan,6,0.11201938045615757,1.0597207003034246,-1.9101873427908376,5.47685373303883,0.2095214790024329,nan
2,gradBO,3,1e-05,nan,7,0.14975383893974986,0.03558418843307143,-1.9101873427908376,5.581060781362082,0.39541722400463186,nan
2,gradBO,3,1e-05,nan,8,0.059124785220214214,-0.040615222871610346,-1.9101873427908376,5.609068418380652,0.441646466992097,nan
2,gradBO,3,1e-05,nan,9,0.11927747308819521,0.9665144353102271,-1.9101873427908376,6.644205713581062,0.20455356399179436,nan
2,gradBO,3,1e-05,nan,10,0.21039094922499912,-0.9159166947024819,-1.9101873427908376,14.269850226891764,0.16990783900837414,nan
2,gradBO,4,1e-05,nan,1,0.009736567838409508,2.001805986110751,-1.9101873427908376,0.0,0.3431807240121998,nan
2,gradBO,4,1e-05,nan,2,0.010637708248336928,1.702459895208937,-1.9101873427908376,0.29934609090181397,0.12169905699556693,nan
2,gradBO,4,1e-05,nan,3,0.015619894399310707,1.7291186304734278,-1.9101873427908376,0.32600482616630444,0.14591395398019813,nan
2,gradBO,4,1e-05,nan,4,0.03266763349802522,-0.8382360209328361,-1.9101873427908376,7.948092574591625,0.06651323297410272,nan
2,gradBO,4,1e-05,nan,5,0.17976143842359968,-1.3606379687609507,-1.9101873427908376,10.037700365904083,0.1084040520072449,nan
2,gradBO,4,1e-05,nan,6,0.10152688911091952,-1.3267363555679665,-1.9101873427908376,10.071601979097068,0.10310608099098317,nan
2,gradBO,4,1e-05,nan,7,0.08446911687857535,-1.3388246543008235,-1.9101873427908376,10.093415293557195,0.06756004699855112,nan
2,gradBO,4,1e-05,nan,8,0.03863416202968758,-1.8405795439065593,-1.9101873427908376,13.453006319576456,0.05098457101848908,nan
2,gradBO,4,1e-05,nan,9,0.3165929330661397,-1.5521843089309542,-1.9101873427908376,13.741401554552063,0.1269167390128132,nan
2,gradBO,4,1e-05,nan,10,0.03104101804292826,0.9963613255773642,-1.9101873427908376,16.578342424035988,0.09039035500609316,nan
2,gradBO,5,1e-05,nan,1,0.17661620650351567,0.09922602748359366,-1.9101873427908376,0.0,1.186915113008581,nan
2,gradBO,5,1e-05,nan,2,0.12119014414639812,-1.306352828240093,-1.9101873427908376,1.4055788557236863,0.1651474770042114,nan
2,gradBO,5,1e-05,nan,3,0.19101613267443251,-1.1879630080439694,-1.9101873427908376,1.52396867591981,0.08734958298737183,nan
2,gradBO,5,1e-05,nan,4,0.12025420428076279,-1.6237754318962914,-1.9101873427908376,2.4762364868884053,0.15741346398135647,nan
2,gradBO,5,1e-05,nan,5,0.21987068106071667,-1.8899895054332285,-1.9101873427908376,3.541092781036154,0.09311086701927707,nan
2,gradBO,5,1e-05,nan,6,0.11253232713016176,2.1922706059506134,-1.9101873427908376,7.623352892419995,0.22920324798906222,nan
2,gradBO,5,1e-05,nan,7,0.17953821336428805,1.9999411898211628,-1.9101873427908376,11.513283587674385,0.12128724798094481,nan
2,gradBO,5,1e-05,nan,8,0.11825221923060972,1.2393769404986053,-1.9101873427908376,14.64265003360622,0.14415663399267942,nan
2,gradBO,5,1e-05,nan,9,0.06780336148930896,1.5603710754653901,-1.9101873427908376,18.093010614504838,0.15603465397725813,nan
2,gradBO,5,1e-05,nan,10,0.016271291665889576,2.067678824963771,-1.9101873427908376,22.05067894490184,0.11193013400770724,nan
2,gradBO,6,1e-05,nan,1,0.03631577897643582,-0.8557057116621745,-1.9101873427908376,0.0,0.4256502609932795,nan
2,gradBO,6,1e-05,nan,2,0.10787607339479333,-1.0204743824519702,-1.9101873427908376,0.16476867078979573,0.49939684398123063,nan
2,gradBO,6,1e-05,nan,3,0.5000621076883264,-1.381987957123954,-1.9101873427908376,0.8877958201337632,0.1743881049915217,nan
2,gradBO,6,1e-05,nan,4,0.12257285045382833,-0.5296090721515547,-1.9101873427908376,1.7401747051061625,0.14217043097596616,nan
2,gradBO,6,1e-05,nan,5,0.1140476265951113,2.1922706059506134,-1.9101873427908376,5.31443326818073,0.07034300101804547,nan
2,gradBO,6,1e-05,nan,6,0.0435634254130679,0.9963613255773642,-1.9101873427908376,7.692782550882048,0.09167207501013763,nan
2,gradBO,6,1e-05,nan,7,0.035560138162466365,-1.4210032353236701,-1.9101873427908376,7.926874220080345,0.1722024490009062,nan
2,gradBO,6,1e-05,nan,8,0.015789425460349026,1.9999411898211628,-1.9101873427908376,11.347818645225178,0.13678782098577358,nan
2,gradBO,6,1e-05,nan,9,9.742472454701772e-06,-0.3888787345931095,-1.9101873427908376,12.379943145955739,0.12347844199393876,nan
2,gradBO,6,1e-05,nan,10,0.0003689453875583274,1.8277752413522463,-1.9101873427908376,15.628721622631655,0.11199347299407236,nan
2,gradBO,7,1e-05,nan,1,0.012701297233685703,1.998337467241682,-1.9101873427908376,0.0,1.130935342021985,nan
2,gradBO,7,1e-05,nan,2,0.015000277927714181,1.779953746052992,-1.9101873427908376,0.21838372118869032,0.3616553419851698,nan
2,gradBO,7,1e-05,nan,3,0.022883610926290758,1.4632947322452812,-1.9101873427908376,0.8517017488041123,0.1858302540204022,nan
2,gradBO,7,1e-05,nan,4,0.08546336743596267,0.26360644096964814,-1.9101873427908376,4.450766622631011,0.12143092098995112,nan
2,gradBO,7,1e-05,nan,5,0.5589975936797695,0.01815060748125319,-1.9101873427908376,5.432589956584591,0.12275605401373468,nan
2,gradBO,7,1e-05,nan,6,0.09468306046534156,-0.39197575829905285,-1.9101873427908376,7.483221785486121,0.047456022002734244,nan
